Date,Description,Amount,Type
2024-12-01,Salário Empresa XYZ,5000.00,Income
2024-12-02,Supermercado Pão de Açúcar,284.50,Expense
2024-12-03,Uber para cliente,42.00,Expense
2024-12-04,Pagamento Netflix,55.90,Expense
2024-12-05,Almoço Restaurante Bom Sabor,65.00,Expense
2024-12-06,Freelance Website Cliente ABC,1500.00,Income
2024-12-07,Farmácia Drogasil - Remédios,125.30,Expense
2024-12-08,Gasolina Posto Shell,250.00,Expense
2024-12-09,Academia Smart Fit,89.90,Expense
2024-12-10,Serviço MEI - Consultoria,800.00,Income
2024-12-11,Conta de Luz CPFL,180.00,Expense
2024-12-12,Internet Vivo Fibra,99.90,Expense
2024-12-13,Ifood - Jantar,78.50,Expense
2024-12-14,Presente Aniversário,150.00,Expense
2024-12-15,Investimento Tesouro Direto,500.00,Expense
